Order_ID,Order_Date,Ship_Date,Customer_ID,Segment,City,State,Product_Category,Product_SubCategory,Quantity,Unit_Price,Discount,Shipping_Mode,Profit_Margin
ORD1000,2023-05-17,2023-10-04,CUST126,consumer,Hyderabad,Tamil Nadu,Furniture,Tables,12,83.4327714544103,0.15,Express,0.15129197892150967
ORD1001,2023-12-14,2023-01-09,CUST139,Consumer,Mumbai,Delhi,Technology,Laptops,8,290.19609787951856,0.2,Standard,0.20607235005212915
ORD1002,2023-09-25,2023-01-09,CUST49,Consumer,Hyderabad,Maharashtra,Furniture,Paper,6,134.284812427274,0.1, First Class,0.43409821909520097
ORD1003,2023-08-07,2023-04-29,CUST113,Home Office,Delhi,Delhi,Office Supplies,Tables,4,121.75029028100977,0.0,Express,0.23083660240065546
ORD1004,2023-02-26,2023-06-28,CUST38,Home Office,Delhi,Karnataka,Technology,Binders,11,15.647746885962775,0.2,Same Day,0.29522406250786515
ORD1005,2023-02-26,2023-10-09,CUST64,Home Office,Chennai,Tamil Nadu,Office Supplies,Binders,8,73.86695454884523,0.2,Express,0.4764561340583361
ORD1006,2023-01-22,2023-09-07,CUST69,Consumer,Chennai,Tamil Nadu,Office Supplies,Chairs,9,161.5413746348507,0.1,Same Day,0.19085963553477853
ORD1007,2023-11-13,2023-06-12,CUST136,home office,Chennai,Delhi,Technology,Laptops,10,67.27059268956013,0.1,Same Day,0.25585040694320416
ORD1008,2023-08-08,2023-04-10,CUST116,Corporate,Bangalore,Delhi,Office Supplies,Laptops,2,493.0706358013594,0.1,Express,0.3425831102174183
ORD1009,2023-09-16,2023-12-30,CUST65,Home Office,Chennai,Maharashtra,Office Supplies,Tables,6,161.22999777673581,0.0,Express,0.4021355718015889
ORD1010,2023-01-08,2023-06-05,CUST31,Corporate,Bangalore,Telangana,Office Supplies,Paper,5,,0.1,Same Day,0.46066135468508207
ORD1011,2023-12-21,2023-06-14,CUST132,Home Office,Chennai,Telangana,Technology,Laptops,5,107.5503332856993,0.15,Same Day,0.46618919502940603
ORD1012,2023-10-31,2023-03-01,CUST113,Consumer,Bangalore,Maharashtra,Technology,Tables,10,297.9745818873235,0.2,Standard,0.41065602974904925
ORD1013,2023-03-19,2023-10-18,CUST109,Home Office,Hyderabad,Telangana,Office Supplies,Tables,11,41.381326693746374,0.1,Express,0.1913323346373242
ORD1014,2023-03-08,2023-09-11,CUST69,corporate,Hyderabad,Karnataka,Technology,Phones,3,432.59272376916687,0.2,Express,0.10992373201702632
ORD1015,2023-03-08,2023-03-22,CUST120,Corporate,Delhi,Telangana,Technology,Phones,12,481.1348428262022,0.05,Standard,0.25350957214224956
ORD1016,2023-04-22,2023-01-31,CUST88,Home Office,Bangalore,Maharashtra,Office Supplies,Laptops,8,130.90623612701663,0.05,Express,0.15661954039512935
ORD1017,2023-07-11,2023-09-06,CUST67,Corporate,Mumbai,Telangana,Technology,Tables,14,230.54668160952107,0.1,Standard,0.3841550589753192
ORD1018,2023-06-07,2023-08-27,CUST75,Corporate,Delhi,Tamil Nadu,Furniture,Chairs,8,20.845881004453567,0.2,Standard,0.36445223473028676
ORD1019,2023-04-17,2023-04-10,CUST45,Consumer,Hyderabad,Delhi,Technology,Chairs,12,323.94801011633854,0.05,Express,0.11758865664858194
ORD1020,2023-08-12,2023-12-14,CUST4,Home Office,Bangalore,Karnataka,Furniture,Phones,5,212.82376844576854,0.1, First Class,0.4346375116523805
ORD1021,2023-02-20,2023-02-25,CUST107,home office,Chennai,Tamil Nadu,Office Supplies,Laptops,8,142.3286483897623,0.2,Same Day,0.1994973065164729
ORD1022,2023-04-17,2023-06-07,CUST51,Home Office,Mumbai,Tamil Nadu,Technology,Paper,10,111.35018420213815,0.1,Express,0.2728908301964169
ORD1023,2023-05-14,2023-12-11,CUST50,Corporate,Hyderabad,Maharashtra,Office Supplies,Chairs,8,330.4713080527926,0.2, First Class,0.36717349418229694
ORD1024,2023-06-16,2023-06-03,CUST6,Home Office,Delhi,Delhi,Office Supplies,Chairs,3,213.94634520583406,0.05,Standard,0.27176751474090133
ORD1025,2023-10-14,2023-08-22,CUST59,Home Office,Bangalore,Delhi,Office Supplies,Phones,2,98.03305162465689,0.1, First Class,0.27651512111997734
ORD1026,2023-03-14,2023-05-26,CUST125,Consumer,Mumbai,Karnataka,Office Supplies,Phones,9,347.6634499285438,0.05,Express,0.12625119813429617
