Order_ID,Order_Date,Ship_Date,Customer_ID,Segment,City,State,Category,SubCategory,Quantity,Unit_Price,Discount,ShippingMode,Profit_Margin,Sales_Revenue,Profit_Amount,Is_High_Profit
ORD1000,2023-05-17,2023-10-04,CUST126,Consumer,Hyderabad,Tamil Nadu,Furniture,Tables,12,83.4327714544103,0.15,Express,0.1512919789215096,851.014268834985,128.75163282248647,False
ORD1001,2023-12-14,2023-01-09,CUST139,Consumer,Mumbai,Delhi,Technology,Laptops,8,290.19609787951856,0.2,Standard,0.2060723500521291,1857.2550264289189,382.72890794233643,False
ORD1002,2023-09-25,2023-01-09,CUST49,Consumer,Hyderabad,Maharashtra,Furniture,Paper,6,134.284812427274,0.1,First Class,0.4340982190952009,725.1379871072796,314.78110880154884,False
ORD1003,2023-08-07,2023-04-29,CUST113,Home Office,Delhi,Delhi,Office Supplies,Tables,4,121.75029028100975,0.0,Express,0.2308366024006554,487.001161124039,112.41769339904731,False
ORD1004,2023-02-26,2023-06-28,CUST38,Home Office,Delhi,Karnataka,Technology,Binders,11,15.647746885962777,0.2,Same Day,0.2952240625078651,137.70017259647244,40.65240436196479,False
ORD1005,2023-02-26,2023-10-09,CUST64,Home Office,Chennai,Tamil Nadu,Office Supplies,Binders,8,73.86695454884523,0.2,Express,0.4764561340583361,472.7485091126095,225.243927033636,False
ORD1006,2023-01-22,2023-09-07,CUST69,Consumer,Chennai,Tamil Nadu,Office Supplies,Chairs,9,161.5413746348507,0.1,Same Day,0.1908596355347785,1308.4851345422908,249.73699588141722,False
ORD1007,2023-11-13,2023-06-12,CUST136,Home Office,Chennai,Delhi,Technology,Laptops,10,67.27059268956013,0.1,Same Day,0.2558504069432041,605.4353342060413,154.90087663441042,False
ORD1008,2023-08-08,2023-04-10,CUST116,Corporate,Bangalore,Delhi,Office Supplies,Laptops,2,493.0706358013594,0.1,Express,0.3425831102174183,887.5271444424469,304.0518095454773,False
ORD1009,2023-09-16,2023-12-30,CUST65,Home Office,Chennai,Maharashtra,Office Supplies,Tables,6,161.2299977767358,0.0,Express,0.4021355718015889,967.3799866604147,389.0179040850993,False
ORD1010,2023-01-08,2023-06-05,CUST31,Corporate,Bangalore,Telangana,Office Supplies,Paper,5,249.70629381050165,0.1,Same Day,0.460661354685082,1123.6783221472576,517.6351781106157,False
ORD1011,2023-12-21,2023-06-14,CUST132,Home Office,Chennai,Telangana,Technology,Laptops,5,107.5503332856993,0.15,Same Day,0.466189195029406,457.088916464222,213.08991402331904,False
ORD1012,2023-10-31,2023-03-01,CUST113,Consumer,Bangalore,Maharashtra,Technology,Tables,10,297.9745818873235,0.2,Standard,0.4106560297490492,2383.796655098588,978.9204701118497,True
ORD1013,2023-03-19,2023-10-18,CUST109,Home Office,Hyderabad,Telangana,Office Supplies,Tables,11,41.38132669374637,0.1,Express,0.1913323346373242,409.67513426808904,78.38409988237272,False
ORD1014,2023-03-08,2023-09-11,CUST69,Corporate,Hyderabad,Karnataka,Technology,Phones,3,432.59272376916687,0.2,Express,0.1099237320170263,1038.2225370460005,114.12529593628172,False
ORD1015,2023-03-08,2023-03-22,CUST120,Corporate,Delhi,Telangana,Technology,Phones,12,481.1348428262022,0.05,Standard,0.2535095721422495,5484.937208218705,1390.4840848826284,True
ORD1016,2023-04-22,2023-01-31,CUST88,Home Office,Bangalore,Maharashtra,Office Supplies,Laptops,8,130.90623612701663,0.05,Express,0.1566195403951293,994.8873945653263,155.81880648172907,False
ORD1017,2023-07-11,2023-09-06,CUST67,Corporate,Mumbai,Telangana,Technology,Tables,14,230.54668160952107,0.1,Standard,0.3841550589753192,2904.8881882799656,1115.9274932853984,True
ORD1018,2023-06-07,2023-08-27,CUST75,Corporate,Delhi,Tamil Nadu,Furniture,Chairs,8,20.845881004453567,0.2,Standard,0.3644522347302867,133.41363842850282,48.62289866876631,False
